asset_id,session_id,bar_date,calendar,timezone,bar_label_semantics,observed_through,available_at,ingested_at,known_at,decision_at,open,high,low,close,volume,evaluation_regime_label,evaluation_regime_known_at,evaluation_regime_feature_eligible
SYN-A,SYN-2026-01-05,2026-01-05,SYN-WEEKDAY-UTC-v1,UTC,synthetic-session-close,2026-01-05T23:59:00Z,2026-01-06T00:02:00Z,2026-01-06T00:05:00Z,2026-01-06T00:06:00Z,2026-01-06T00:10:00Z,100.00,101.20,99.40,100.80,120000,calm,2026-02-02T00:30:00Z,false
SYN-A,SYN-2026-01-06,2026-01-06,SYN-WEEKDAY-UTC-v1,UTC,synthetic-session-close,2026-01-06T23:59:00Z,2026-01-07T00:02:00Z,2026-01-07T00:05:00Z,2026-01-07T00:06:00Z,2026-01-07T00:10:00Z,100.80,102.10,100.20,101.70,128000,calm,2026-02-02T00:30:00Z,false
SYN-A,SYN-2026-01-07,2026-01-07,SYN-WEEKDAY-UTC-v1,UTC,synthetic-session-close,2026-01-07T23:59:00Z,2026-01-08T00:02:00Z,2026-01-08T00:05:00Z,2026-01-08T00:06:00Z,2026-01-08T00:10:00Z,101.70,102.00,100.60,101.10,117000,calm,2026-02-02T00:30:00Z,false
SYN-A,SYN-2026-01-08,2026-01-08,SYN-WEEKDAY-UTC-v1,UTC,synthetic-session-close,2026-01-08T23:59:00Z,2026-01-09T00:02:00Z,2026-01-09T00:05:00Z,2026-01-09T00:06:00Z,2026-01-09T00:10:00Z,101.10,103.20,100.90,102.80,141000,calm,2026-02-02T00:30:00Z,false
SYN-A,SYN-2026-01-09,2026-01-09,SYN-WEEKDAY-UTC-v1,UTC,synthetic-session-close,2026-01-09T23:59:00Z,2026-01-10T00:02:00Z,2026-01-10T00:05:00Z,2026-01-10T00:06:00Z,2026-01-12T00:10:00Z,102.80,104.00,102.30,103.50,152000,calm,2026-02-02T00:30:00Z,false
SYN-A,SYN-2026-01-12,2026-01-12,SYN-WEEKDAY-UTC-v1,UTC,synthetic-session-close,2026-01-12T23:59:00Z,2026-01-13T00:02:00Z,2026-01-13T00:05:00Z,2026-01-13T00:06:00Z,2026-01-13T00:10:00Z,103.50,104.10,101.70,102.20,166000,transition,2026-02-02T00:30:00Z,false
SYN-A,SYN-2026-01-13,2026-01-13,SYN-WEEKDAY-UTC-v1,UTC,synthetic-session-close,2026-01-13T23:59:00Z,2026-01-14T00:02:00Z,2026-01-14T00:05:00Z,2026-01-14T00:06:00Z,2026-01-14T00:10:00Z,102.20,102.80,99.90,100.40,194000,transition,2026-02-02T00:30:00Z,false
SYN-A,SYN-2026-01-14,2026-01-14,SYN-WEEKDAY-UTC-v1,UTC,synthetic-session-close,2026-01-14T23:59:00Z,2026-01-15T00:02:00Z,2026-01-15T00:05:00Z,2026-01-15T00:06:00Z,2026-01-15T00:10:00Z,100.40,101.60,98.70,99.10,212000,transition,2026-02-02T00:30:00Z,false
SYN-A,SYN-2026-01-15,2026-01-15,SYN-WEEKDAY-UTC-v1,UTC,synthetic-session-close,2026-01-15T23:59:00Z,2026-01-16T00:02:00Z,2026-01-16T00:05:00Z,2026-01-16T00:06:00Z,2026-01-16T00:10:00Z,99.10,100.20,96.80,97.30,248000,stress,2026-02-02T00:30:00Z,false
SYN-A,SYN-2026-01-16,2026-01-16,SYN-WEEKDAY-UTC-v1,UTC,synthetic-session-close,2026-01-16T23:59:00Z,2026-01-17T00:02:00Z,2026-01-17T00:05:00Z,2026-01-17T00:06:00Z,2026-01-19T00:10:00Z,97.30,99.80,95.90,98.70,271000,stress,2026-02-02T00:30:00Z,false
SYN-A,SYN-2026-01-19,2026-01-19,SYN-WEEKDAY-UTC-v1,UTC,synthetic-session-close,2026-01-19T23:59:00Z,2026-01-20T00:02:00Z,2026-01-20T00:05:00Z,2026-01-20T00:06:00Z,2026-01-20T00:10:00Z,98.70,99.10,94.80,95.60,305000,stress,2026-02-02T00:30:00Z,false
SYN-A,SYN-2026-01-20,2026-01-20,SYN-WEEKDAY-UTC-v1,UTC,synthetic-session-close,2026-01-20T23:59:00Z,2026-01-21T00:02:00Z,2026-01-21T00:05:00Z,2026-01-21T00:06:00Z,2026-01-21T00:10:00Z,95.60,98.40,94.90,97.80,288000,stress,2026-02-02T00:30:00Z,false
