record_id,learner_code,cohort,period,study_minutes,practice_attempts,checkpoint_score,support_requested,completion_status
R001,F001,amber,2026-P1,95,4,0.82,no,complete
R002,F002,amber,2026-P1,40,1,0.55,yes,incomplete
R003,F003,amber,2026-P1,70,3,0.74,no,complete
R004,F004,amber,2026-P1,,2,0.68,unknown,incomplete
R005,F005,amber,2026-P1,120,5,0.91,no,complete
R006,F006,amber,2026-P1,35,1,,yes,withdrawn
R007,F007,blue,2026-P1,88,4,0.79,no,complete
R008,F008,blue,2026-P1,52,2,0.61,yes,incomplete
R009,F009,blue,2026-P1,105,5,0.87,no,complete
R010,F010,blue,2026-P1,64,3,0.72,unknown,complete
R011,F011,blue,2026-P1,28,1,0.49,yes,incomplete
R012,F012,blue,2026-P1,76,3,,no,complete
R013,F013,coral,2026-P2,112,5,0.93,no,complete
R014,F014,coral,2026-P2,48,2,0.58,yes,incomplete
R015,F015,coral,2026-P2,83,4,0.77,no,complete
R016,F016,coral,2026-P2,59,2,0.66,unknown,incomplete
R017,F017,coral,2026-P2,,3,0.71,yes,complete
R018,F018,coral,2026-P2,101,5,0.89,no,complete
