record_id,learner_code,partition,cohort,prior_score,study_minutes,practice_attempts,late_submissions,support_requested,completion_next_period
M001,P001,train,jade,0.72,96,5,0,no,1
M002,P002,train,jade,0.48,42,2,2,yes,0
M003,P003,train,jade,0.65,78,4,1,no,1
M004,P004,train,jade,0.39,35,1,3,yes,0
M005,P005,train,jade,0.81,112,6,0,no,1
M006,P006,train,jade,0.57,64,3,1,yes,1
M007,P007,train,jade,0.44,50,2,2,no,0
M008,P008,train,lilac,0.76,103,5,0,no,1
M009,P009,train,lilac,0.52,58,3,1,yes,0
M010,P010,train,lilac,0.69,84,4,0,no,1
M011,P011,train,lilac,0.33,29,1,4,yes,0
M012,P012,train,lilac,0.61,71,3,1,no,1
M013,P013,train,lilac,0.47,46,2,3,yes,0
M014,P014,train,lilac,0.85,121,6,0,no,1
M015,P015,train,sand,0.55,62,3,2,no,0
M016,P016,train,sand,0.73,91,5,0,no,1
M017,P017,train,sand,0.41,38,1,3,yes,0
M018,P018,train,sand,0.67,80,4,1,yes,1
M019,P019,train,sand,0.59,69,3,1,no,1
M020,P020,train,sand,0.36,31,1,4,yes,0
M021,P021,validation,jade,0.78,106,5,0,no,1
M022,P022,validation,lilac,0.46,49,2,2,yes,0
M023,P023,validation,sand,0.63,74,4,1,no,1
M024,P024,validation,jade,0.51,57,2,2,no,0
M025,P025,validation,lilac,0.70,87,4,0,yes,1
M026,P026,holdout,sand,0.82,115,6,0,no,1
M027,P027,holdout,jade,0.43,41,2,3,yes,0
M028,P028,holdout,lilac,0.66,77,4,1,no,1
M029,P029,holdout,sand,0.54,60,3,2,yes,0
M030,P030,holdout,jade,0.74,94,5,0,no,1
