event_id,occurred_at,content_id,content_version,channel,session_key,event_name,qualified,consented,bot_suspected,campaign,experiment_arm,value
EVT-0001,2026-03-01T09:00:00Z,POST-ALPHA,v1,newsletter,anon-s001,impression,false,true,false,spring-lab,control,1
EVT-0002,2026-03-01T09:00:08Z,POST-ALPHA,v1,newsletter,anon-s001,open,false,true,false,spring-lab,control,1
EVT-0003,2026-03-01T09:01:20Z,POST-ALPHA,v1,newsletter,anon-s001,qualified_read,true,true,false,spring-lab,control,1
EVT-0004,2026-03-01T09:02:10Z,POST-ALPHA,v1,newsletter,anon-s001,save,true,true,false,spring-lab,control,1
EVT-0005,2026-03-01T09:15:00Z,POST-ALPHA,v1,newsletter,anon-s002,impression,false,true,false,spring-lab,control,1
EVT-0006,2026-03-01T09:15:05Z,POST-ALPHA,v1,newsletter,anon-s002,open,false,true,false,spring-lab,control,1
EVT-0007,2026-03-01T09:15:22Z,POST-ALPHA,v1,newsletter,anon-s002,exit,false,true,false,spring-lab,control,1
EVT-0008,2026-03-01T10:30:00Z,POST-ALPHA,v1,social-mock,anon-s003,impression,false,true,false,spring-lab,variant-a,1
EVT-0009,2026-03-01T10:30:12Z,POST-ALPHA,v1,social-mock,anon-s003,qualified_read,true,true,false,spring-lab,variant-a,1
EVT-0010,2026-03-01T10:31:00Z,POST-ALPHA,v1,social-mock,anon-s003,cta_click,true,true,false,spring-lab,variant-a,1
EVT-0011,2026-03-01T11:05:00Z,POST-ALPHA,v1,social-mock,anon-s004,impression,false,true,false,spring-lab,variant-a,1
EVT-0012,2026-03-01T11:06:45Z,POST-ALPHA,v1,social-mock,anon-s004,qualified_read,true,true,false,spring-lab,variant-a,1
EVT-0013,2026-03-02T08:00:00Z,POST-ALPHA,v1,newsletter,anon-s001,return_visit,true,true,false,spring-lab,control,1
EVT-0014,2026-03-02T08:01:10Z,POST-ALPHA,v1,newsletter,anon-s001,correction_view,true,true,false,spring-lab,control,1
EVT-0015,2026-03-02T12:00:00Z,POST-BETA,v1,social-mock,anon-s005,impression,false,true,false,spring-lab,variant-b,1
EVT-0016,2026-03-02T12:00:18Z,POST-BETA,v1,social-mock,anon-s005,qualified_read,true,true,false,spring-lab,variant-b,1
EVT-0017,2026-03-02T12:01:40Z,POST-BETA,v1,social-mock,anon-s005,save,true,true,false,spring-lab,variant-b,1
EVT-0018,2026-03-02T12:30:00Z,POST-BETA,v1,social-mock,anon-s006,impression,false,false,false,spring-lab,variant-b,1
EVT-0019,2026-03-02T12:30:07Z,POST-BETA,v1,social-mock,anon-s006,open,false,false,false,spring-lab,variant-b,1
EVT-0020,2026-03-03T07:00:00Z,POST-BETA,v1,social-mock,anon-bot01,impression,false,true,true,spring-lab,variant-b,1
EVT-0021,2026-03-03T07:00:01Z,POST-BETA,v1,social-mock,anon-bot01,cta_click,false,true,true,spring-lab,variant-b,1
EVT-0022,2026-03-03T07:00:02Z,POST-BETA,v1,social-mock,anon-bot01,cta_click,false,true,true,spring-lab,variant-b,1
EVT-0023,2026-03-03T07:00:03Z,POST-BETA,v1,social-mock,anon-bot01,cta_click,false,true,true,spring-lab,variant-b,1
EVT-0024,2026-03-03T07:00:04Z,POST-BETA,v1,social-mock,anon-bot01,cta_click,false,true,true,spring-lab,variant-b,1
EVT-0025,2026-03-03T09:00:00Z,POST-ALPHA,v2,newsletter,anon-s007,impression,false,true,false,spring-lab,control,1
EVT-0026,2026-03-03T09:00:55Z,POST-ALPHA,v2,newsletter,anon-s007,qualified_read,true,true,false,spring-lab,control,1
EVT-0027,2026-03-03T09:01:50Z,POST-ALPHA,v2,newsletter,anon-s007,correction_view,true,true,false,spring-lab,control,1
EVT-0028,2026-03-03T11:00:00Z,POST-ALPHA,v2,social-mock,anon-s008,impression,false,true,false,spring-lab,variant-a,1
EVT-0029,2026-03-03T11:01:05Z,POST-ALPHA,v2,social-mock,anon-s008,qualified_read,true,true,false,spring-lab,variant-a,1
EVT-0030,2026-03-03T11:02:20Z,POST-ALPHA,v2,social-mock,anon-s008,cta_click,true,true,false,spring-lab,variant-a,1
EVT-0031,2026-03-04T09:10:00Z,POST-BETA,v1,newsletter,anon-s009,impression,false,true,false,spring-lab,variant-b,1
EVT-0032,2026-03-04T09:11:20Z,POST-BETA,v1,newsletter,anon-s009,qualified_read,true,true,false,spring-lab,variant-b,1
EVT-0033,2026-03-05T09:11:20Z,POST-BETA,v1,newsletter,anon-s009,return_visit,true,true,false,spring-lab,variant-b,1
